Symbol	Name	LastSale	MarketCap	ADR TSO	IPOyear	Sector	Industry	Summary Quote
FAX	Aberdeen Asia-Pacific Income Fund Inc	7.87	2053879105	n/a	1986	n/a	n/a	http://www.nasdaq.com/symbol/fax
IAF	Aberdeen Australia Equity Fund Inc	10.57	238608459	n/a	1985	n/a	n/a	http://www.nasdaq.com/symbol/iaf
CH	"Aberdeen Chile Fund, Inc."	15.32	143801134	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/ch
ETF	Aberdeen Emerging Markets Telecommunications and Infrastructur	21.83	180024697	n/a	1992	n/a	n/a	http://www.nasdaq.com/symbol/etf
FCO	"Aberdeen Global Income Fund, Inc."	14.22	130191053.6	n/a	1992	n/a	n/a	http://www.nasdaq.com/symbol/fco
IF	"Aberdeen Indonesia Fund, Inc."	11.94	98766748.68	n/a	1990	n/a	n/a	http://www.nasdaq.com/symbol/if
ISL	"Aberdeen Israel Fund, Inc."	13.48	57535201.2	n/a	1992	n/a	n/a	http://www.nasdaq.com/symbol/isl
ACU	Acme United Corporation.	11.36	35366258.72	n/a	1988	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/acu
AQ            	Acquity Group Limited	7.54	177313731.4	n/a	n/a	Miscellaneous	Business Services	http://www.nasdaq.com/symbol/aq            
AE	"Adams Resources & Energy, Inc."	36.36	153351790.6	n/a	n/a	Energy	Oil Refining/Marketing	http://www.nasdaq.com/symbol/ae
ADK	Adcare Health Systems Inc	4.9	71825968.9	n/a	n/a	Health Care	Hospital/Nursing Management	http://www.nasdaq.com/symbol/adk
ADK^A	Adcare Health Systems Inc	26.2	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/adk^a
API	"Advanced Photonix, Inc."	0.4999	15577457.39	n/a	n/a	Technology	Semiconductors	http://www.nasdaq.com/symbol/api
ANX	"ADVENTRX Pharmaceuticals, Inc."	0.59	28154425.35	n/a	n/a	Consumer Durables	Major Pharmaceuticals	http://www.nasdaq.com/symbol/anx
ACY	AeroCentury Corp.	14.9599	23086970.39	n/a	n/a	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/acy
AIM	Aerosonic Corporation	3.87	14905246.95	n/a	n/a	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/aim
AA^	Alcoa Inc.	84	0	n/a	n/a	Capital Goods	Metal Fabrications	http://www.nasdaq.com/symbol/aa^
AXX	Alderon Iron Ore Corp.	1.93	250792242.3	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/axx
AXU	Alexco Resource Corp	3.85	232651257.3	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/axu
ANV	Allied Nevada Gold Corp.	30.71	2755734580	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/anv
AAU	"Almaden Minerals, Ltd."	3.25	194097543.3	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/aau
