Symbol	Name	LastSale	MarketCap	ADR TSO	IPOyear	Sector	Industry	Summary Quote
DDD	3D Systems Corporation	55.78	3181692539	n/a	n/a	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/ddd
MMM	3M Company	94.78	65581246529	n/a	n/a	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/mmm
SVN	7 Days Group Holdings Limited	12.35	617219790.9	n/a	2009	Consumer Services	Hotels/Resorts	http://www.nasdaq.com/symbol/svn
AHC	A.H. Belo Corporation	4.9	107720154.5	n/a	n/a	Consumer Services	Newspapers/Magazines	http://www.nasdaq.com/symbol/ahc
AIR	AAR Corp.	19.37	768889225.1	n/a	n/a	Capital Goods	Aerospace	http://www.nasdaq.com/symbol/air
AAN	"Aaron&#39;s,  Inc."	28.7	2169821799	n/a	n/a	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/aan
ABB	ABB Ltd	21.19	48596786215	n/a	n/a	Consumer Durables	Electrical Products	http://www.nasdaq.com/symbol/abb
ABT	Abbott Laboratories	32.05	50660400971	n/a	n/a	Consumer Durables	Major Pharmaceuticals	http://www.nasdaq.com/symbol/abt
ANF	Abercrombie & Fitch Company	47.56	3784001964	n/a	1996	Consumer Services	Clothing/Shoe/Accessory Stores	http://www.nasdaq.com/symbol/anf
ABM	ABM Industries Incorporated	20.39	1109473587	n/a	n/a	Finance	Diversified Commercial Services	http://www.nasdaq.com/symbol/abm
AKR	Acadia Realty Trust	25.27	1280406110	n/a	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/akr
ACN	Accenture plc.	69.06	47220520296	n/a	1986	Miscellaneous	Business Services	http://www.nasdaq.com/symbol/acn
ACMP	"Access Midstream Partmers, L.P."	34.44	3351808184	n/a	n/a	Public Utilities	Natural Gas Distribution	http://www.nasdaq.com/symbol/acmp
ACCO	Acco Brands Corporation	7.53	851739256	n/a	n/a	Consumer Durables	Publishing	http://www.nasdaq.com/symbol/acco
AH	"Accretive Health, Inc."	11.7	1138022005	n/a	2010	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/ah
ACW	Accuride Corporation New	3.31	156845389.3	n/a	2005	Capital Goods	Auto Parts:O.E.M.	http://www.nasdaq.com/symbol/acw
ACE	Ace Limited	81.79	27792920530	n/a	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/ace
ATV	"Acorn International, Inc."	2.46	73749801.24	n/a	2007	Consumer Services	Other Specialty Stores	http://www.nasdaq.com/symbol/atv
ATU	Actuant Corporation	28.45	2073764085	n/a	n/a	Technology	Industrial Machinery/Components	http://www.nasdaq.com/symbol/atu
AYI	Acuity Brands Inc	69.17	2945509480	n/a	n/a	Consumer Durables	Building Products	http://www.nasdaq.com/symbol/ayi
ADX	Adams Express Company (The)	10.85	988503550.3	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/adx
AGRO	Adecoagro S.A.	8.68	1060846641	n/a	1994	Consumer Non-Durables	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/agro
PVD	"Administradora de Fondos de Pensiones-Provida, S.A."	104.3	2303754828	n/a	1994	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/pvd
ADT	ADT Corporation	46.02	10698164060	n/a	n/a	Consumer Services	Diversified Commercial Services	http://www.nasdaq.com/symbol/adt
AAP	Advance Auto Parts Inc	72.49	5318161507	n/a	1993	Consumer Services	Other Specialty Stores	http://www.nasdaq.com/symbol/aap
AMD	"Advanced Micro Devices, Inc."	2.53	1801227952	n/a	1972	Technology	Semiconductors	http://www.nasdaq.com/symbol/amd
ASX	"Advanced Semiconductor Engineering, Inc."	4.55	6907185158	n/a	1996	Technology	Semiconductors	http://www.nasdaq.com/symbol/asx
AAV	Advantage Oil & Gas Ltd	3.2	538825081.6	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/aav
ATE	Advantest Corporation (Kabushiki Kaisha Advantest) ADS	16.59	2874572194	n/a	n/a	Technology	Semiconductors	http://www.nasdaq.com/symbol/ate
AVK	Advent Claymore Convertible Securities and Income Fund	16.24	382953442.5	n/a	2003	n/a	n/a	http://www.nasdaq.com/symbol/avk
AGC	Advent Claymore Convertible Securities and Income Fund II	6.65	214400788	n/a	2007	n/a	n/a	http://www.nasdaq.com/symbol/agc
LCM	Advent/Claymore Enhanced Growth & Income Fund	9.26	125964011.5	n/a	2005	n/a	n/a	http://www.nasdaq.com/symbol/lcm
ACM	Aecom Technology Corporation	24.71	2670621292	n/a	2007	Consumer Services	Military/Government/Technical	http://www.nasdaq.com/symbol/acm
ANW	Aegean Marine Petroleum Network Inc.	5.73	266934336.3	n/a	2006	Energy	Oil Refining/Marketing	http://www.nasdaq.com/symbol/anw
AEB	Aegon NV	23.48	0	n/a	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/aeb
AED	Aegon NV	24.98	0	n/a	1995	Finance	Life Insurance	http://www.nasdaq.com/symbol/aed
AEF	Aegon NV	25.1799	0	n/a	1990	Finance	Life Insurance	http://www.nasdaq.com/symbol/aef
AEG	Aegon NV	6.51	12431847872	n/a	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/aeg
AEH	Aegon NV	25.34	0	n/a	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/aeh
AEK	Aegon NV	28.03	0	n/a	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/aek
AEV	Aegon NV	25.05	0	n/a	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/aev
AER	Aercap Holdings N.V.	13.9	1688953055	n/a	2006	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/aer
ARX	Aeroflex Holding Corp.	7.76	658450495.7	n/a	2010	Technology	Semiconductors	http://www.nasdaq.com/symbol/arx
ARO	Aeropostale Inc	12.61	986944839.8	n/a	2002	Consumer Services	Clothing/Shoe/Accessory Stores	http://www.nasdaq.com/symbol/aro
AET	Aetna Inc.	46.25	15470625000	n/a	n/a	Health Care	Medical Specialities	http://www.nasdaq.com/symbol/aet
AFM	"Affiliated Managers Group, Inc."	25.35	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/afm
AMG	"Affiliated Managers Group, Inc."	134.85	6985420543	n/a	1997	Finance	Investment Managers	http://www.nasdaq.com/symbol/amg
MGR	"Affiliated Managers Group, Inc."	26.224	0	n/a	n/a	Finance	Investment Managers	http://www.nasdaq.com/symbol/mgr
AFL	Aflac Incorporated	54.07	25353796786	n/a	n/a	Finance	Accident &Health Insurance	http://www.nasdaq.com/symbol/afl
AFSD	Aflac Incorporated	25.58	0	n/a	n/a	Finance	Accident &Health Insurance	http://www.nasdaq.com/symbol/afsd
MITT	"AG Mortgage Investment Trust, Inc."	23.85	551547801.9	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/mitt
MITT^A	"AG Mortgage Investment Trust, Inc."	25.276	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/mitt^a
MITT^B	"AG Mortgage Investment Trust, Inc."	24.99	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/mitt^b
AGCO	AGCO Corporation	50.19	4868376247	n/a	n/a	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/agco
NCV	AGIC Convertible & Income Fund	8.94	679036582.5	n/a	1993	n/a	n/a	http://www.nasdaq.com/symbol/ncv
NCZ	AGIC Convertible & Income Fund II	8.14	514718769	n/a	2003	n/a	n/a	http://www.nasdaq.com/symbol/ncz
NIE	AGIC Equity & Convertible Income Fund	17.05	380286422.5	n/a	2007	n/a	n/a	http://www.nasdaq.com/symbol/nie
NGZ	AGIC Global Equity & Convertible Income Fund	13.85	97225933.55	n/a	2007	n/a	n/a	http://www.nasdaq.com/symbol/ngz
NAI	AGIC International & Premium Strategy Fund	9.9	98914533.3	n/a	2005	n/a	n/a	http://www.nasdaq.com/symbol/nai
A	"Agilent Technologies, Inc."	41.88	14571498703	n/a	1999	Capital Goods	Electrical Products	http://www.nasdaq.com/symbol/a
GAS	"AGL Resources, Inc."	40.69	4792558003	n/a	n/a	Public Utilities	Oil/Gas Transmission	http://www.nasdaq.com/symbol/gas
AEM	Agnico-Eagle Mines Limited	53.33	9173111605	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/aem
